epsilon,d,sigma_beta,A_beta,R0,mass_proxy
1.0,0.006000000000000001,0.2,0.2,1.4948491569379472,0.008000000000000002
1.0,0.006000000000000001,0.2,0.4,2.8146540547775714,0.016000000000000004
1.0,0.006000000000000001,0.2,0.6000000000000001,4.143315078118205,0.024000000000000007
1.0,0.006000000000000001,0.2,0.8,5.47430051093282,0.03200000000000001
1.0,0.006000000000000001,0.2,1.0,6.806223994778522,0.04000000000000001
1.0,0.024000000000000004,0.4,0.0,0.35647037972834794,0.0
1.0,0.024000000000000004,0.4,0.2,1.670313120732058,0.03200000000000001
1.0,0.024000000000000004,0.4,0.4,3.0013152428993606,0.06400000000000002
1.0,0.024000000000000004,0.4,0.6000000000000001,4.333751497583205,0.09600000000000003
1.0,0.024000000000000004,0.4,0.8,5.666610137772925,0.12800000000000003
1.0,0.024000000000000004,0.4,1.0,6.999649745618352,0.16000000000000003
1.0,0.05400000000000001,0.6000000000000001,0.0,0.4687973172417719,0.0
1.0,0.05400000000000001,0.6000000000000001,0.2,1.800002657413524,0.07200000000000002
1.0,0.05400000000000001,0.6000000000000001,0.4,3.133016659538537,0.14400000000000004
1.0,0.05400000000000001,0.6000000000000001,0.6000000000000001,4.466221246971988,0.21600000000000008
1.0,0.05400000000000001,0.6000000000000001,0.8,5.799485019146166,0.2880000000000001
1.0,0.05400000000000001,0.6000000000000001,1.0,7.132774793294549,0.3600000000000001
1.0,0.09600000000000002,0.8,0.0,0.539469874522721,0.0
1.0,0.09600000000000002,0.8,0.2,1.8724776688770786,0.12800000000000003
1.0,0.09600000000000002,0.8,0.4,3.2057561693970094,0.25600000000000006
1.0,0.09600000000000002,0.8,0.6000000000000001,4.53906687904608,0.3840000000000001
1.0,0.09600000000000002,0.8,0.8,5.872387861144093,0.5120000000000001
1.0,0.09600000000000002,0.8,1.0,7.2057134137976835,0.6400000000000001
1.0,0.15,1.0,0.0,0.5799701456138434,0.0
1.0,0.15,1.0,0.2,1.913235644951152,0.2
1.0,0.15,1.0,0.4,3.246556856464716,0.4
1.0,0.15,1.0,0.6000000000000001,4.579885125612626,0.6000000000000001
1.0,0.15,1.0,0.8,5.913215678456024,0.8
1.0,0.15,1.0,1.0,7.246547254465127,1.0
3.0,0.05400000000000001,0.2,0.0,0.14896649755045163,0.0
3.0,0.05400000000000001,0.2,0.2,1.4687157587450177,0.008000000000000002
3.0,0.05400000000000001,0.2,0.4,2.801356846638851,0.016000000000000004
3.0,0.05400000000000001,0.2,0.6000000000000001,4.134445171287034,0.024000000000000007
3.0,0.05400000000000001,0.2,0.8,5.467653164238852,0.03200000000000001
3.0,0.05400000000000001,0.2,1.0,6.800910363966441,0.04000000000000001
3.0,0.21600000000000005,0.4,0.0,0.3325247623445826,0.0
3.0,0.21600000000000005,0.4,0.2,1.6652270758796246,0.03200000000000001
3.0,0.21600000000000005,0.4,0.4,2.9984904459386046,0.06400000000000002
3.0,0.21600000000000005,0.4,0.6000000000000001,4.331796885578965,0.09600000000000003
3.0,0.21600000000000005,0.4,0.8,5.665115984754337,0.12800000000000003
3.0,0.21600000000000005,0.4,1.0,6.998440507781115,0.16000000000000003
3.0,0.48600000000000015,0.6000000000000001,0.0,0.46598007999233537,0.0
3.0,0.48600000000000015,0.6000000000000001,0.2,1.7992678818885437,0.07200000000000002
3.0,0.48600000000000015,0.6000000000000001,0.4,3.1325944419633602,0.14400000000000004
3.0,0.48600000000000015,0.6000000000000001,0.6000000000000001,4.465925046413237,0.21600000000000008
3.0,0.48600000000000015,0.6000000000000001,0.8,5.799256905678163,0.2880000000000001
3.0,0.48600000000000015,0.6000000000000001,1.0,7.132589316053475,0.3600000000000001
3.0,0.8640000000000002,0.8,0.0,0.5390205096869756,0.0
3.0,0.8640000000000002,0.8,0.2,1.872348122079472,0.12800000000000003
3.0,0.8640000000000002,0.8,0.4,3.205680493451322,0.25600000000000006
3.0,0.8640000000000002,0.8,0.6000000000000001,4.539013429975889,0.3840000000000001
3.0,0.8640000000000002,0.8,0.8,5.872346546695294,0.5120000000000001
3.0,0.8640000000000002,0.8,1.0,7.2056797435803555,0.6400000000000001
3.0,1.3499999999999999,1.0,0.0,0.5798743265409684,0.0
3.0,1.3499999999999999,1.0,0.2,1.9132065918093701,0.2
3.0,1.3499999999999999,1.0,0.4,3.2465397343738296,0.4
3.0,1.3499999999999999,1.0,0.6000000000000001,4.579872988016552,0.6000000000000001
3.0,1.3499999999999999,1.0,0.8,5.9132062775984755,0.8
3.0,1.3499999999999999,1.0,1.0,7.246539583281621,1.0
10.0,0.6,0.2,0.0,0.13415233393750578,0.0
10.0,0.6,0.2,0.2,1.4672854656008931,0.008000000000000002
10.0,0.6,0.2,0.4,2.8006092161131155,0.016000000000000004
10.0,0.6,0.2,0.6000000000000001,4.133939148326121,0.024000000000000007
10.0,0.6,0.2,0.8,5.467270739472598,0.03200000000000001
10.0,0.6,0.2,1.0,6.800603013781347,0.04000000000000001
10.0,2.4,0.4,0.0,0.33174406800236833,0.0
10.0,2.4,0.4,0.2,1.6650712682067454,0.03200000000000001
10.0,2.4,0.4,0.4,2.998403922953522,0.06400000000000002
10.0,2.4,0.4,0.6000000000000001,4.331736995434004,0.09600000000000003
10.0,2.4,0.4,0.8,5.665070190694264,0.12800000000000003
10.0,2.4,0.4,1.0,6.998403438558432,0.16000000000000003
10.0,5.400000000000002,0.6000000000000001,0.0,0.4659191771595041,0.0
10.0,5.400000000000002,0.6000000000000001,0.2,1.7992521086949365,0.07200000000000002
10.0,5.400000000000002,0.6000000000000001,0.4,3.1325853822509617,0.14400000000000004
10.0,5.400000000000002,0.6000000000000001,0.6000000000000001,4.465918691489241,0.21600000000000008
10.0,5.400000000000002,0.6000000000000001,0.8,5.799252011798152,0.2880000000000001
10.0,5.400000000000002,0.6000000000000001,1.0,7.132585336969219,0.3600000000000001
10.0,9.6,0.8,0.0,0.5390125442928735,0.0
10.0,9.6,0.8,0.2,1.8723458290025854,0.12800000000000003
10.0,9.6,0.8,0.4,3.2056791542045358,0.25600000000000006
10.0,9.6,0.8,0.6000000000000001,4.539012484214983,0.3840000000000001
10.0,9.6,0.8,0.8,5.872345815758578,0.5120000000000001
10.0,9.6,0.8,1.0,7.205679147984248,0.6400000000000001
10.0,15.0,1.0,0.0,0.5798728068371507,0.0
